filename,spanning_pct
000003799615000064_f0930201510-q-t7,0.4444444444444444
000002134416000050_a2015123110-k-t79,0.13333333333333333
000007085816000166_bac-331201610xq-t649,0.4
000007085816000166_bac-331201610xq-t248,0.37333333333333335
000002134416000050_a2015123110-k-t46,0.36904761904761907
000007085816000166_bac-331201610xq-t216,0.4142857142857143
000007085816000166_bac-331201610xq-t545,0.375
000007085816000166_bac-331201610xq-t381,0.40555555555555556
000003799615000064_f0930201510-q-t30,0.34285714285714286
000009341016000049_cvx-123115x10kdoc-t2,0.0
000006480316000074_cvs-20151231x10k-t5,0.16326530612244897
000007085816000166_bac-331201610xq-t479,0.3888888888888889
000002134416000050_a2015123110-k-t107,0.2857142857142857
000003799620000010_f1231201910-k-t56,0.3492063492063492
000003799620000010_f1231201910-k-t57,0.25
000002134416000050_a2015123110-k-t296,0.3333333333333333
000003799620000010_f1231201910-k-t157,0.25
000003799615000064_f0930201510-q-t64,0.37777777777777777
000003799620000010_f1231201910-k-t55,0.32142857142857145
000003799615000064_f0930201510-q-t101,0.34
000009341016000049_cvx-123115x10kdoc-t36,0.21428571428571427
000002134416000050_a2015123110-k-t187,0.14285714285714285
000007085816000166_bac-331201610xq-t623,0.41836734693877553
000007085816000166_bac-331201610xq-t302,0.52
000009341016000049_cvx-123115x10kdoc-t169,0.0
000003799620000010_f1231201910-k-t295,0.3939393939393939
000003799620000010_f1231201910-k-t143,0.25
000007085816000166_bac-331201610xq-t309,0.5128205128205128
000007085816000166_bac-331201610xq-t334,0.37575757575757573
000002134416000050_a2015123110-k-t301,0.2857142857142857
000009341016000049_cvx-123115x10kdoc-t137,0.2
000003799615000064_f0930201510-q-t66,0.3492063492063492
000003799620000010_f1231201910-k-t395,0.2698412698412698
000002134416000050_a2015123110-k-t160,0.2857142857142857
000007085816000166_bac-331201610xq-t540,0.32575757575757575
000009341016000049_cvx-123115x10kdoc-t41,0.21428571428571427
000007085816000166_bac-331201610xq-t531,0.4358974358974359
000007085816000166_bac-331201610xq-t667,0.0
000003799615000064_f0930201510-q-t79,0.325
000003799615000064_f0930201510-q-t6,0.0
000007085816000166_bac-331201610xq-t199,0.47692307692307695
000009341016000049_cvx-123115x10kdoc-t135,0.125
000003799620000010_f1231201910-k-t341,0.17142857142857143
000007085816000166_bac-331201610xq-t472,0.424
000007085816000166_bac-331201610xq-t46,0.6057692307692307
000007085816000166_bac-331201610xq-t28,0.3105590062111801
000003799620000010_f1231201910-k-t307,0.375
000002134416000050_a2015123110-k-t238,0.25
000007085816000166_bac-331201610xq-t140,0.38419117647058826
000003408808000057_r10q050608-t14,0.046052631578947366
000002134416000050_a2015123110-k-t436,0.0
000003799620000010_f1231201910-k-t367,0.25
000003799620000010_f1231201910-k-t53,0.34285714285714286
000003799620000010_f1231201910-k-t339,0.23076923076923078
000002134416000050_a2015123110-k-t47,0.1
000003799615000064_f0930201510-q-t48,0.4564102564102564
000002134416000050_a2015123110-k-t197,0.2777777777777778
000007085816000166_bac-331201610xq-t480,0.43434343434343436
000003799620000010_f1231201910-k-t155,0.3
000003799620000010_f1231201910-k-t294,0.3939393939393939
000003799620000010_f1231201910-k-t213,0.30666666666666664
000009341016000049_cvx-123115x10kdoc-t23,0.0
000003408808000057_r10q050608-t13,0.13
000003408819000010_xom10k2018-t70,0.08163265306122448
000009341016000049_cvx-123115x10kdoc-t121,0.4461538461538462
000003408819000010_xom10k2018-t39,0.029411764705882353
000003799620000010_f1231201910-k-t409,0.2727272727272727
