filename,spanning_pct,rows_count,column_count,total_cells,aspect_ratio,width_added,height_added,is_complex,area_added
000003799615000064_f0930201510-q-t48,0.4564102564102564,15,13,106,2.2964641885766093,0,81,1,-412879
000002134416000050_a2015123110-k-t197,0.2777777777777778,6,3,13,4.956947162426615,0,377,1,-1912415
000003799620000010_f1231201910-k-t155,0.3,11,10,77,3.0118906064209274,0,212,1,-1076525
000003799620000010_f1231201910-k-t294,0.3939393939393939,11,9,60,3.0118906064209274,0,212,1,-1076525
000003799620000010_f1231201910-k-t213,0.30666666666666664,15,10,104,2.2964641885766093,0,81,1,-412879
000009341016000049_cvx-123115x10kdoc-t23,0.0,8,4,32,1.5880877742946709,1266,469,0,-8792043
000003408808000057_r10q050608-t13,0.13,25,16,348,1.1323960164030462,966,113,1,-4173347
000003408819000010_xom10k2018-t70,0.08163265306122448,14,7,90,2.25355871886121,0,71,1,-359686
000009341016000049_cvx-123115x10kdoc-t121,0.4461538461538462,25,13,180,1.4416619237336368,1266,388,1,-8381697
000003408819000010_xom10k2018-t39,0.029411764705882353,17,4,66,1.8888888888888888,1266,596,1,-9435425
000003799620000010_f1231201910-k-t409,0.2727272727272727,22,11,176,1.4383872799545712,1266,386,1,-8371565
000002134416000050_a2015123110-k-t90,0.2267080745341615,23,14,249,1.4658564814814814,1266,402,1,-8455154
000003799615000064_f0930201510-q-t58,0.3619047619047619,35,9,201,1.0484271523178808,1266,58,1,-6712450
000009341016000049_cvx-123115x10kdoc-t141,0.4567901234567901,9,9,44,3.1387856257744735,0,229,1,-1162647
000007085816000166_bac-331201610xq-t491,0.36324786324786323,36,13,298,0.9810224632068164,1315,0,1,-6793242
000009341016000049_cvx-123115x10kdoc-t38,0.21428571428571427,2,7,11,10.17269076305221,0,508,1,-2576061
000003799620000010_f1231201910-k-t350,0.44019138755980863,11,19,117,3.0118906064209274,0,212,1,-1076525
000007085816000166_bac-331201610xq-t279,0.47058823529411764,24,17,216,1.2386308068459657,1266,244,1,-7652193
000002134416000050_a2015123110-k-t267,0.36363636363636365,11,13,91,3.0118906064209274,0,212,1,-1076525
000003799615000064_f0930201510-q-t131,0.3333333333333333,6,8,32,4.956947162426615,0,377,1,-1912415
000003799615000064_f0930201510-q-t19,0.0,21,3,63,1.694314381270903,1266,519,0,-9045343
000003799620000010_f1231201910-k-t301,0.20833333333333334,6,4,19,4.956947162426615,0,377,1,-1912415
000007085816000166_bac-331201610xq-t11,0.40714285714285714,20,7,83,1.7091767881241566,1266,525,1,-9078272
000003799620000010_f1231201910-k-t49,0.22,20,5,78,1.768854748603352,1266,550,1,-9204922
000003799620000010_f1231201910-k-t351,0.38649155722326456,41,13,327,0.8713450292397661,1640,0,1,-9537867
000003799620000010_f1231201910-k-t318,0.26666666666666666,10,3,22,3.272609819121447,0,246,1,-1246236
000007085816000166_bac-331201610xq-t392,0.30952380952380953,6,7,29,4.956947162426615,0,377,1,-1912415
000002134416000050_a2015123110-k-t236,0.25,8,3,18,3.9271317829457364,0,310,1,-1572993
000009341016000049_cvx-123115x10kdoc-t124,0.46296296296296297,6,9,29,4.956947162426615,0,377,1,-1912415
000007085816000166_bac-331201610xq-t304,0.49230769230769234,20,13,132,1.768854748603352,1266,550,1,-9204922
000007085816000166_bac-331201610xq-t324,0.28846153846153844,16,13,148,1.694314381270903,1266,519,1,-9045343
000007085816000166_bac-331201610xq-t508,0.3448275862068966,29,21,399,1.068776371308017,1266,81,1,-6828968
000003408808000057_r10q050608-t6,0.06666666666666667,18,5,84,1.1986143187066975,778,129,1,-2825955
000002134416000050_a2015123110-k-t271,0.37037037037037035,9,9,51,3.582743988684583,0,279,1,-1415947
000007085816000166_bac-331201610xq-t261,0.49572649572649574,9,13,59,3.582743988684583,0,279,1,-1415947
000007085816000166_bac-331201610xq-t104,0.41414141414141414,11,9,58,3.0118906064209274,0,212,1,-1076525
000003799620000010_f1231201910-k-t375,0.2895927601809955,13,17,157,2.611340206185567,0,148,1,-749768
